# Synonym replacements applied IN ORDER before matching.
# Format: <source><TAB><target>.  Empty target = delete the source phrase.
# ORDER MATTERS (sequential replace). Provenance: MATCHER_CHANGES.txt.

egg noodles, whole wheat, dry	noodles with egg
egg noodles, whole wheat	noodles with egg
egg noodles, dry	noodles with egg
egg noodles	noodles with egg
egg noodle	noodles with egg
tortillas, wholemeal	tortilla wheat flour
tortillas, whole wheat	tortilla wheat flour
whole wheat tortillas	tortilla wheat flour
wholemeal tortillas	tortilla wheat flour
tortilla, wheat, wholemeal	tortilla wheat flour
tortilla, wheat, whole grain	tortilla wheat flour
tortilla, wheat	tortilla wheat flour
tortilla, wholemeal	tortilla wheat flour
tortilla, whole wheat	tortilla wheat flour
whole wheat tortilla wraps	tortilla wheat flour
wholemeal tortilla wraps	tortilla wheat flour
whole wheat tortilla wrap	tortilla wheat flour
wholemeal tortilla wrap	tortilla wheat flour
whole wheat tortilla	tortilla wheat flour
wholemeal tortilla	tortilla wheat flour
wholemeal pita bread	pita bread
whole wheat pita bread	pita bread
pita bread, wholemeal	pita bread
wholemeal burger buns	bread roll
wholemeal burger bun	bread roll
whole wheat burger buns	bread roll
whole wheat burger bun	bread roll
wholemeal bun	bread roll
wholemeal macaroni	pasta, plain
wholemeal manicotti shells	pasta, plain
whole wheat manicotti shells	pasta, plain
manicotti shells	pasta, plain
manicotti	pasta, plain
brown lentils, dried	lentils green
brown lentils, dry	lentils green
brown lentils	lentils green
poblano peppers	sweet pepper green
poblano pepper	sweet pepper green
poblano chili	sweet pepper green
poblano	sweet pepper green
tater tots	potatoes french fries
mixed salad greens	lettuce leaves
mixed salad leaves	lettuce leaves
mixed leaves	lettuce leaves
mixed greens	lettuce leaves
mixed wild mushrooms	mushroom
salad greens	lettuce leaves
whole grain tortilla chips	tortilla chips
whole wheat tortilla chips	tortilla chips
wholegrain tortilla chips	tortilla chips
wholemeal tortilla chips	tortilla chips
tortilla chips, whole grain	tortilla chips
tortilla chips, whole wheat	tortilla chips
tortilla chips, wholegrain	tortilla chips
tortilla chips, wholemeal	tortilla chips
wholegrain baguette	bread wholemeal
wholemeal baguette	bread wholemeal
whole wheat baguette	bread wholemeal
whole grain baguette	bread wholemeal
tortilla wrap, wholemeal	tortilla wheat flour
tortilla wrap, wholegrain	tortilla wheat flour
wholemeal tortilla wrap	tortilla wheat flour
wholegrain tortilla wrap	tortilla wheat flour
wholemeal wrap	tortilla wheat flour
wholemeal bread roll	bread roll
wholegrain bread roll	bread roll
wholemeal mustard	mustard
