food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
Wheatgerm,,,35.0,5.0,5.0,2.0,,,,,
Wheatbran,,,25.0,4.0,3.5,1.5,,,,,
"Wheat flour, wholemeal",,,60.0,9.0,9.0,3.5,,,,,
Wheat flour,,,55.0,9.0,9.0,4.0,,,,,
"Cornmeal, polenta",,,65.0,12.0,12.0,4.5,,,,,
Corn starch,,,60.0,9.0,9.0,3.5,,,,,
Potato starch,,,70.0,11.0,11.0,4.5,,,,,
Rice flour,,,70.0,11.0,11.0,4.5,,,,,
"Rye flour, wholemeal",,,55.0,9.0,9.0,4.0,,,,,
Rye flour,,,50.0,9.0,9.0,4.0,,,,,
Soy flour,,,45.0,8.0,9.0,4.0,,,,,
"Buckwheat, grain",,,75.0,12.0,10.0,,,,,,
"Bulgur, cooked",portion,portion,,,,,225.0,,,,
"Bulgur, uncooked",portion,portion,80.0,13.0,13.0,,75.0,,,,
Pearl barley,,,80.0,13.0,13.0,,,,,,
"Couscous, cooked",portion,portion,,,,,190.0,,,,
"Couscous, uncooked",portion,portion,75.0,11.0,11.0,,75.0,,,,
Rolled oats,portion,portion,40.0,5.0,6.0,,100.0,,,,
"Millet, grain",,,80.0,13.0,12.0,,,,,,
"Wheat, grain",,,60.0,9.0,9.0,,,,,,
"Quinoa, cooked",portion,portion,,,,,185.0,,,,
"Quinoa, uncooked",portion,portion,70.0,11.0,11.0,,75.0,,,,
"Semolina, wheat meal",,,70.0,10.0,10.0,,,,,,
Sorghum,,,75.0,12.0,10.0,,,,,,
Fresh pasta,,,,,,,,,,,110.0
"Fresh pasta, cooked",,,,,,,,,,,195.0
"Fresh pasta, Ravioli",decilitre,dl,,,,,35.0,,,,
"Fresh pasta, Ravioli",one,piece,,,,,3.5,,,,
"Fresh pasta, Tortellini",decilitre,dl,,,,,45.0,,,,
"Fresh pasta, Tortellini",one,piece,,,,,5.0,,,,
"Whole-grain pasta, cooked",,,,,,,,,,,195.0
"Whole-grain pasta, uncooked",decilitre,dl,,,,,30.0,,,,85.0
Porridge rice,decilitre,dl,,,,,90.0,,,,
"Pre-boiled rice, cooked",,,,,,,,,,,160.0
"Pre-boiled rice, uncooked",decilitre,dl,,,,,50.0,,,,
"Lasagne sheets, cooked",one,piece,,,,,45.0,,,,
"Lasagne sheets, uncooked",one,piece,,,,,17.0,,,,
"Macaroni, cooked",,,,,,,,,,,195.0
"Macaroni, uncooked",decilitre,dl,,,,,40.0,,,,75.0
"Egg noodles, cooked",,,,,,,,,,,220.0
