"Matvare
Food item";"Matvaregruppe
Foodgroup";"Vekt pr dl, g 
Weight per dl, g";"Vekt pr ms, g 
Weight per msp, g";"Vekt pr ss, g 
Weight per tbsp, g";"Vekt pr ts, g 
Weight per tsp, g";"g/enhet 
g/unit";"Enhet 
Unit";Brutto g;Spiselig del % Edible part %;Netto g;"Vekt pr porsjon, g 
Weight per portion, g";
"Vegetabilsk postei, Tartex 
Vegetable spread, Tartex";"Vegetarprodukter
 Vegetarian products";;;;;15f;"til en brødskive 
for a slice of bread";;;;;
"Kokosfett, matfett 
Coconut fat";"Smør olje 
Butter oil";;;;;;;;;;;
"Olje, flytende margarin 
Oil, liquid margarine";"Smør olje 
Butter oil";;;10h;4,5ag;;;;;;;
"Smør, margarin 
Butter, margarine";"Smør olje 
Butter oil";;;15a;7a;5ģ;"til en brødskive 
for a slice of bread";;;;;
"Dressing av majones 
Mayonnaise dressing";"Dressing majones
 Dressing mayonnaise";100f;;18f;7f;25ģ;"porsjon 
portion";;;;;
"Dressing av olje og eddik 
Oil and vinegar dressing";"Dressing majones
 Dressing mayonnaise";90ag;;10f;4,5ag;25ģ;"porsjon 
portion";;;;;
"Majones, remulade 
Mayonnaise, rémoulade";"Dressing majones
 Dressing mayonnaise";95ag;;13a;6a;10ģ;"til en brødskive 
for a slice of bread";;;;;
"Majonessalat, påleggssalat 
Mayonnaise salad";"Dressing majones
 Dressing mayonnaise";95ag;;16a;7a;30ģ;"til en brødskive 
for a slice of bread";;;;;
Tran Cod liver oil;"Omega 3
Omega 3";90ag;;10f;4,5ag;5ģ (ml);"porsjon 
portion";;;;;
"Cheeseburger, fastfood 
Cheeseburger, fastfood";"Retter 
dishes";;;;;105a;"stk 
one";;;;;
"Fiskegrateng 
Fish gratin";"Retter 
dishes";;;;;275ģ;"porsjon 
portion";;;;;
"Fårikål 
Lamb and cabbage stew";"Retter 
dishes";;;;;450ģ;"porsjon 
portion";;;;;
"Gryterett 
One-pot meal, casserole";"Retter 
dishes";;;;;300ģ;"porsjon 
portion";;;;;
"Grøt 
Porridge";"Retter 
dishes";;;;;350ģ;"porsjon 
portion";;;;;
"Grøt 
Porridge";"Retter 
dishes";;;;;100ag;"desiliter 
decilitre";;;;;
"Hamburger, dobbel, fastfood 
Burger, double, fastfood";"Retter 
dishes";;;;;180a;"stk 
one";;;;;
"Hamburger, ekstra kjøtt, fastfood 
Burger, with extra meat, fastfood";"Retter 
dishes";;;;;190a;"stk 
one";;;;;
"Hamburger, fastfood 
Burger, fastfood";"Retter 
dishes";;;;;100a;"stk 
one";;;;;
"Kyllingburger, fastfood 
Chicken burger, fastfood";"Retter 
dishes";;;;;140a;"stk 
one";;;;;
"Lapskaus 
Stew, with meat, potatoes and vegetables";"Retter 
dishes";;;;;450ģ;"porsjon 
portion";;;;;
"Lasagne 
Lasagna";"Retter 
dishes";;;;;300ģ;"porsjon 
portion";;;;;
"Moussaka 
Moussaka";"Retter 
dishes";;;;;300ģ;"porsjon 
portion";;;;;
"Pai 
Pie";"Retter 
dishes";;;;;300ģ;"porsjon 
portion";;;;;
"Pannekaker 
Pancakes";"Retter 
dishes";;;;;65a;"stk 
one";;;;;
"Pasta med kjøttsaus 
Pasta bolognese";"Retter 
dishes";;;;;300f;"porsjon 
portion";;;;;
"Pizza 
Pizza";"Retter 
dishes";;;;;300ģ;"porsjon 
portion";;;;;
"Ratatouille 
Ratatouille";"Retter 
dishes";;;;;130ģ;"porsjon 
portion";;;;;
"Salat, med grønnsaker o.l. 
Salad, with vegetables etc";"Retter 
dishes";;;;;135ģ;"porsjon 
portion";;;;;
"Sashimi 
Sashimi";"Retter 
dishes";;;;;20a;"stk 
one";;;;;
"Suppe 
Soup";"Retter 
dishes";;;;;100e;"desiliter 
decilitre";;;;;
"Suppe 
Soup";"Retter 
dishes";;;;;350ģ;"porsjon 
portion";;;;;
"Sushi, maki 
Sushi, rolled, maki";"Retter 
dishes";;;;;25a;"stk 
one";;;;;
"Sushi, nigiri 
Sushi, nigiri";"Retter 
dishes";;;;;30a;"stk 
one";;;;;
"Bearnaisesaus 
Bearnaise sauce";"Saus dressing
 sauce dressing";100e;;;;75ģ;"porsjon 
portion";;;;;
"Brun saus 
Brown sauce";"Saus dressing
 sauce dressing";100e;;;;75ģ;"porsjon 
portion";;;;;
"Buljongpulver 
Bouillon powder";"Saus dressing
 sauce dressing";70a;;11f;4,5f;;"porsjon 
portion";;;;;
"Dipsaus, barbequesaus 
BBQ sauce";"Saus dressing
 sauce dressing";;;17a;6a;;"porsjon 
portion";;;;;
"Hvit saus 
Béchamel sauce";"Saus dressing
 sauce dressing";100e;;;;75g;"porsjon 
portion";;;;;
"Pesto 
Pesto";"Saus dressing
 sauce dressing";100a;;18a;7a;;"porsjon 
portion";;;;;
"Potetmospulver 
Instant mashed potato";"Saus dressing
 sauce dressing";35a;;4a;2a;;"porsjon 
portion";;;;;
"Sjysaus 
Gravy sauce";"Saus dressing
 sauce dressing";100e;;;;75ģ;"porsjon 
portion";;;;;
"Soyasaus 
Soy sauce";"Saus dressing
 sauce dressing";115a;;13a;6a;;"porsjon 
portion";;;;;
"Tacokrydder 
Taco spice mix";"Saus dressing
 sauce dressing";;;8a;3,5a;;"porsjon 
portion";;;;;
"Tacosaus 
Taco sauce";"Saus dressing
 sauce dressing";105a;;17a;7a;;"porsjon 
portion";;;;;
"Bærsaus 
Berry sauce";"Desert iskrem
Desert icecream";100e;;;;75ģ;"porsjon 
portion";;;;;
"Fromasj 
Mousse";"Desert iskrem
Desert icecream";;;;;140f;"porsjon 
portion";;;;;
"Gelé 
Jelly";"Desert iskrem
Desert icecream";;;;;140ģ;"porsjon 
portion";;;;;
"Iskrem 
Ice cream";"Desert iskrem
Desert icecream";60a;;;;60a;"kule 
scoop";;;;;
"Iskrem 
Ice cream";"Desert iskrem
Desert icecream";;;;;95ģ;"porsjon 
portion";;;;;
"Iskrem, fløteis i kjeks, type Sandwich 
Ice cream, Sandwich";"Desert iskrem
Desert icecream";;;;;65u;"stk 
one";;;;;
"Iskrem, med kjeks, type Krone-is 
Ice cream, Krone-is";"Desert iskrem
Desert icecream";;;;;75/135u;"stk 
one";;;;;
"Iskrem, pinneis, fløteis med sjokoladetrekk 
Ice cream, chocolate ice, coated with chocolate";"Desert iskrem
Desert icecream";;;;;40u;"stk 
one";;;;;
"Iskrem, vaniljeis i kjeks, type Båtis 
Ice cream, vanilla, in a wafer boat";"Desert iskrem
Desert icecream";;;;;70u;"stk 
one";;;;;
"Karamellsaus 
Caramel sauce";"Desert iskrem
Desert icecream";130ag;;;;17f;"spiseskje 
tablespoon";;;;;
"Karamellsaus 
Caramel sauce";"Desert iskrem
Desert icecream";;;;;25ģ;"porsjon 
portion";;;;;
"Melisglasur 
Frosting";"Desert iskrem
Desert icecream";135a;;;;17a;"spiseskje 
tablespoon";;;;;
"Pudding (sjokolade, karamell o.l.) 
Pudding (chocolate, caramel etc)";"Desert iskrem
Desert icecream";;;;;140ģ;"porsjon 
portion";;;;;
"Romkrem 
Rum custard";"Desert iskrem
Desert icecream";95f;;;;13f;"spiseskje 
tablespoon";;;;;
"Saftis 
Water ice stick";"Desert iskrem
Desert icecream";;;;;65u;"stk 
one";;;;;
"Sjokoladeglasur 
Chocolate frosting";"Desert iskrem
Desert icecream";130f;;;;17f;"spiseskje 
tablespoon";;;;;
"Sjokoladesaus 
Chocolate sauce";"Desert iskrem
Desert icecream";130ag;;;;17f;"spiseskje 
tablespoon";;;;;
"Sjokoladesaus 
Chocolate sauce";"Desert iskrem
Desert icecream";;;;;25ģ;"porsjon 
portion";;;;;
"Smørkrem 
Chocolate butter cream";"Desert iskrem
Desert icecream";95n;;;;14n;"spiseskje 
tablespoon";;;;;
"Sorbet 
Sherbet";"Desert iskrem
Desert icecream";80a;;;;75a;"kule 
scoop";;;;;
"Sorbet 
Sherbet";"Desert iskrem
Desert icecream";;;;;95ģ;"porsjon 
portion";;;;;
"Vaniljekrem, eggekrem 
Vanilla custard, egg custard";"Desert iskrem
Desert icecream";95a;;;;13a;"spiseskje 
tablespoon";;;;;
"Vaniljesaus 
Vanilla sauce";"Desert iskrem
Desert icecream";100e;;;;75ģ;"porsjon 
portion";;;;;
"Bakepulver 
Baking powder";"Bakevarer Diverse ingredienser
 Ingredients";;;14a;5,5a;;;;;;;
"Eddik 
Vinegar";"Bakevarer Diverse ingredienser
 Ingredients";;;11e;5e;100e;"desiliter 
decilitre";;;;;
"Gelatin (pulver/plate) 
Gelatin";"Bakevarer Diverse ingredienser
 Ingredients";;;8a;4a;2a;"plate 
leaf";;;;;
"Kakaopulver 
Cocoa powder";"Bakevarer Diverse ingredienser
 Ingredients";;;7a;4,5a;50a;"desiliter 
decilitre";;;;;
"Kokosmasse 
Desiccated coconut";"Bakevarer Diverse ingredienser
 Ingredients";;;5a;2,5a;35a;"desiliter 
decilitre";;;;;
"Kokosmelk 
Coconut milk";"Bakevarer Diverse ingredienser
 Ingredients";;;10a;4a;95a;"desiliter 
decilitre";;;;;
"Pepper, hel 
Black pepper, whole";"Bakevarer Diverse ingredienser
 Ingredients";;;9a;4a;;;;;;;
"Pepper, malt 
Black pepper, grounded";"Bakevarer Diverse ingredienser
 Ingredients";;;5a;2,5a;;;;;;;
"Pressgjær, fersk gjær 
Bakers yeast, compressed";"Bakevarer Diverse ingredienser
 Ingredients";;;;;50o;"stk 
one";;;;;
"Salt, fint 
Salt, grounded";"Bakevarer Diverse ingredienser
 Ingredients";;;17a;7a;130a;"desiliter 
decilitre";;;;;
"Salt, grovt 
Salt, coarse";"Bakevarer Diverse ingredienser
 Ingredients";;;16a;8a;110a;"desiliter 
decilitre";;;;;
"Sennep 
Mustard";"Bakevarer Diverse ingredienser
 Ingredients";;;16a;7a;100a;"desiliter 
decilitre";;;;;
"Sjokoladepulver, rett i koppen 
Cocoa, instant powder";"Bakevarer Diverse ingredienser
 Ingredients";;;8a;4a;45a;"desiliter 
decilitre";;;;;
"Tørrgjær 
Bakers yeast, active, dry";"Bakevarer Diverse ingredienser
 Ingredients";;;6a;3a;12o;"pose 
packet";;;;;
"Fruktpuré, fruktsmoothie 
Fruit purée, fruit smoothie";"Spedbarnsmat
 Baby food";100e;;10a;5a;;;;;;;
"Grøt, pulver 
Porridge, powder";"Spedbarnsmat
 Baby food";40a;;6a;3a;;;;;;;
"Grøt, spiseklar 
Porridge, prepared";"Spedbarnsmat
 Baby food";100a;;17a;8a;;;;;;;
"Mat på glass 
Food in jars";"Spedbarnsmat
 Baby food";100e;;16a;5a;;;;;;;
"Morsmelk 
Breast milk";"Spedbarnsmat
 Baby food";100e;;11e;5e;;;;;;;
"Morsmelkerstatning/tilskuddsblanding, drikkeklar 
Breast milk replacement/toddler formula, prepared";"Spedbarnsmat
 Baby food";100e;;11e;5e;;;;;;;
"Morsmelkerstatning/tilskuddsblanding, pulver 
Breast milk replacement/toddler formula, powder";"Spedbarnsmat
 Baby food";50a;;7a;2a;;;;;;;
